,edge_type,pwi,segment1,segment2,segment3,segment4,segment5,segment6,segment7,segment8,sink,source
0,full_complement,7.723186,0.990858,0.889948,0.909873,0.999425,0.93408,1.0,0.999002,1.0,A/green-winged teal/Interior Alaska/6MP1077/2006,A/mallard/Interior Alaska/6MP0160AR1/2006
1,reassortant,7.921125,,,,0.997111,1.0,,,1.0,A/mallard/Interior Alaska/6MP0952/2006,A/mallard/Interior Alaska/6MP0160AR1/2006
2,full_complement,7.996544,0.999129,0.999568,1.0,0.998845,1.0,1.0,0.999002,1.0,A/green-winged teal/Interior Alaska/6MP0909/2006,A/mallard/Interior Alaska/6MP0160AR1/2006
3,full_complement,7.927289000000001,0.987719,0.988142,0.989772,0.98883,0.993988,0.990071,0.995927,0.99284,A/swine/Hong Kong/2403/2012,A/swine/Hong Kong/NS970/2012
4,full_complement,7.924451000000001,0.982456,0.989899,0.994421,0.98883,0.994656,0.988652,0.99389,0.991647,A/swine/Guangdong/NS909/2012,A/swine/Hong Kong/NS970/2012
5,reassortant,7.734581,0.900043,0.991685,0.93796,,0.990897,,0.990872,,A/chicken/PA/19241/1997,A/guinea fowl/New Jersey/7290-19/1994
6,full_complement,7.990453,0.998692,0.998263,0.998621,1.0,0.999343,0.997887,1.0,0.997647,A/England/950/2009,A/California/VRDL88/2009
7,full_complement,7.8930039999999995,0.985088,0.975374,0.990702,0.987676,0.991984,0.985926,0.990835,0.985419,A/environment/Guizhou/4/2009,A/village chicken/Kyaing Tong/2433/2007
8,full_complement,7.937730999999999,0.992982,0.989006,0.992562,0.991197,0.992652,0.995556,0.995927,0.987849,A/Vietnam/HN31432M/2008,A/village chicken/Kyaing Tong/2433/2007
9,full_complement,7.947800999999999,0.992544,0.987247,0.995351,0.99061,0.99332,0.997037,0.998982,0.99271,A/environment/Guizhou/2/2009,A/village chicken/Kyaing Tong/2433/2007
10,full_complement,7.996808,1.0,0.999567,0.999091,0.998852,1.0,0.999298,1.0,1.0,A/Baikal teal/Korea/H80/2014,A/baikal teal/Korea/Donglim3/2014
11,full_complement,7.998538,1.0,0.999567,0.999545,0.999426,1.0,1.0,1.0,1.0,A/broiler duck/Korea/H29/2014,A/baikal teal/Korea/Donglim3/2014
12,full_complement,7.997240999999999,1.0,1.0,0.999091,0.998852,1.0,0.999298,1.0,1.0,A/Coot/Korea/H81/2014,A/baikal teal/Korea/Donglim3/2014
13,full_complement,7.902681,0.975716,0.935665,0.998641,0.999416,0.999349,0.998611,1.0,0.995283,A/northern pintail/Interior Alaska/9BM7302R0/2009,A/northern pintail/Interior Alaska/9BM6248R0/2009
14,reassortant,7.869895,,0.984842,,0.989529,,,0.998004,0.988439,A/green-winged teal/Minnesota/Sg-01065/2008,A/greater white-fronted goose/California/44358-089/2007
15,full_complement,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A/duck/Nanchang/2-0492/2000,A/Duck/Nanchang/2-0485/2000
16,full_complement,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A/duck/Nanchang/4-190/2000,A/Duck/Nanchang/2-0485/2000
17,full_complement,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A/duck/Nanchang/2-0485/2000,A/Duck/Nanchang/2-0485/2000
18,full_complement,7.984088,0.997807,0.994716,0.99814,0.998824,0.99934,0.996454,1.0,0.998807,A/swine/MB/25-3/2009,A/Canada-AB/RV1532/2009
19,full_complement,7.996085,0.999564,1.0,1.0,0.998847,0.998687,1.0,0.998987,1.0,A/Texas/45103998/2009,A/Texas/45071524/2009
20,full_complement,7.982935,0.997368,0.998681,0.994886,0.998849,0.998701,0.997918,1.0,0.996532,A/swine/British Columbia/00633/2005,A/swine/Minnesota/SG1236/2005
21,full_complement,7.931064,0.989474,0.990325,0.991167,0.98791,0.995455,0.989591,0.992922,0.99422,A/swine/Minnesota/SG1294/2007,A/swine/Minnesota/SG1236/2005
22,full_complement,7.988951999999999,0.99693,0.99912,0.997211,0.998849,0.998692,0.999306,1.0,0.998844,A/swine/Minnesota/00611/2005,A/swine/Minnesota/SG1236/2005
23,full_complement,7.835874000000001,0.977193,0.978012,0.976755,0.975309,0.980628,0.979433,0.98167,0.986874,A/swine/Iowa/A01049113/2010,A/swine/Minnesota/SG1236/2005
24,full_complement,7.926669,0.989474,0.994283,0.989772,0.98791,0.992806,0.989362,0.995927,0.987135,A/swine/Saskatchewan/01834/2007,A/swine/Minnesota/SG1236/2005
25,full_complement,7.833993,0.977193,0.976253,0.976755,0.975897,0.980628,0.978723,0.98167,0.986874,A/swine/Iowa/A01049112/2010,A/swine/Minnesota/SG1236/2005
26,full_complement,7.823196,0.974123,0.978452,0.976755,0.957084,0.985574,0.970854,0.983822,0.996532,A/swine/Saskatchewan/SD0001/2011,A/swine/Minnesota/SG1236/2005
27,full_complement,7.938048,0.991667,0.992964,0.987448,0.990789,0.995455,0.990271,0.992922,0.996532,A/swine/Manitoba/01642/2007,A/swine/Minnesota/SG1236/2005
28,full_complement,7.881397,0.990789,0.992964,0.990702,0.989418,0.95324,0.992366,0.992922,0.978996,A/swine/Texas/SG1270/2007,A/swine/Minnesota/SG1236/2005
29,full_complement,7.959512999999999,0.993421,0.991205,0.993956,0.997121,0.992857,0.995142,0.996967,0.998844,A/swine/Manitoba/01179/2006,A/swine/Minnesota/SG1236/2005
30,reassortant,7.85926,0.974123,0.985048,0.973966,,0.976578,,,0.989595,A/swine/Minnesota/3128/2010,A/swine/Minnesota/SG1236/2005
31,full_complement,7.962318,0.994737,0.994723,0.993491,0.994709,0.996104,0.993754,0.995956,0.998844,A/swine/Saskatchewan/01114/2006,A/swine/Minnesota/SG1236/2005
