,collection_date,country,host_species,reassortant,state,strain_name,subtype
0,2006-08-12,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/6MP0160AR1/2006,H3N8
1,1983-01-01,USA,Human,False,Memphis,A/Memphis/32/1983,H1N1
2,2012-03-15,Hong Kong,Swine,False,,A/swine/Hong Kong/NS970/2012,H1N1
3,1994-12-19,USA,Guineafowl/Avian,False,New Jersey,A/guinea fowl/New Jersey/7290-19/1994,H2N2
4,2005-05-26,China,Black-Billed Magpie/Avian,False,Guangxi,A/black-billed magpie/Guangxi/31/2005,H9N2
5,2006-03-22,Portugal,Tufted Duck/Avian,True,PT,A/tufted duck/PT/13771/2006,H7N3
6,2012-12-20,USA,Human,False,Boston,A/Boston/YGA_00093/2012,H3N2
7,2007-01-01,Myanmar,Chicken/Avian,False,Kyaing Tong,A/village chicken/Kyaing Tong/2433/2007,H5N1
8,2010-12-06,Peru,Human,False,,A/Peru/PER383/2010,H3N2
9,2014-01-17,South Korea,Baikal Teal/Avian,True,Korea,A/baikal teal/Korea/Donglim3/2014,H5N8
10,2009-08-03,USA,Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/9BM6248R0/2009,H4N6
11,2007-10-27,USA,Avian,False,California,A/greater white-fronted goose/California/44358-089/2007,H6N1
12,2000-01-01,China,Duck/Avian,True,Nanchang,A/Duck/Nanchang/2-0485/2000,H2N9
13,2009-05-13,USA,Human,False,Houston,A/Houston/1H/2009,H1N1
14,2009-08-30,USA,Human,False,Texas,A/Texas/44301765/2009,H1N1
15,2009-01-01,Canada,Human,True,Canada-AB,A/Canada-AB/RV1532/2009,H1N1
16,2005-04-22,USA,Swine,False,Minnesota,A/swine/Minnesota/SG1236/2005,H3N2
17,2010-08-19,Chile,Human,False,,A/Chile/87/2010,H1N1
18,2005-12-05,USA,Human,False,California,A/California/NHRC0008/2005,H3N2
19,1980-01-01,USA,Human,False,Memphis,A/Memphis/9/1980,H3N2
20,2008-11-19,Sweden,Mallard/Avian,False,,A/mallard/Sweden/80114/2008,H4N2
21,2013-03-11,Finland,Human,False,Helsinki,A/Helsinki/1229/2013,H1N1
22,2001-06-03,New Zealand,Human,False,Canterbury,A/Canterbury/05/2001,H1N1
23,2002-04-13,New Zealand,Human,False,Canterbury,A/Canterbury/05/2002,H3N2
24,2009-01-06,Malaysia,Human,False,,A/Malaysia/2143035/2009,H1N1
25,2013-01-10,USA,Human,False,Boston,A/Boston/YGA_00035/2013,H3N2
26,2008-07-30,China,Swine,False,Guangdong,A/swine/Guangdong/01/2008,H1N1
27,2011-02-18,USA,Human,False,Tennessee,A/Tennessee/F2048A/2011,H3N2
28,2007-10-18,Sweden,Mallard/Avian,False,,A/mallard/Sweden/68583/2007,H4N6
29,2008-02-26,USA,Human,False,Florida,A/Florida/UR07-0102/2008,H3N2
30,2003-12-18,United Kingdom,Human,False,England,A/England/547/2003,H3N2
31,2011-02-22,USA,Human,False,Pennsylvania,A/Pennsylvania/02/2011,H1N1
32,2012-03-28,Peru,Human,False,,A/Peru/PER359/2012,H3N2
33,2009-01-01,China,Duck/Avian,True,Jiangxi,A/duck/Jiangxi/3286/2009,H7N9
34,2010-02-19,Bhutan,Chicken/Avian,False,,A/chicken/Bhutan/248015/2010,H5N1
35,2009-05-26,USA,Ruddy Turnstone/Avian,True,New Jersey,A/ruddy turnstone/New Jersey/AI09-727/2009,H1N9
36,2004-12-20,USA,Human,False,New York,A/New York/366/2004,H3N2
37,2009-08-13,USA,Swine,False,Ohio,A/swine/Ohio/09SW100/2009,H3N2
38,2010-06-07,Nicaragua,Human,False,Managua,A/Managua/4203.02/2010,H3N2
39,2009-06-11,USA,Human,False,Boston,A/Boston/110/2009,H1N1
40,2009-10-21,China,Duck/Avian,False,Hunan,A/duck/Hunan/S3047/2009,H6N2
41,2013-09-20,Nicaragua,Human,False,,A/Nicaragua/7828_01/2013,H3N2
42,2009-09-05,USA,Human,False,South Carolina,A/South Carolina/WRSP520/2009,H1N1
43,2009-09-28,Taiwan,Human,False,,A/Taiwan/8542/2009,H1N1
44,2009-10-09,USA,Human,False,California,A/California/VRDL88/2009,H1N1
45,2012-03-07,Peru,Human,False,,A/Peru/PER018/2012,H3N2
46,1982-01-01,USA,Horse,False,California,A/equine/California/103/1982,H3N8
47,2009-06-24,Argentina,Human,False,,A/Argentina/9579/2009,H1N1
48,2005-10-13,Viet Nam,Human,False,TayNguyen,A/TayNguyen/TN405/2005,H3N2
49,2010-10-03,Australia,Human,False,Sydney,A/Sydney/DD3-57/2010,H1N1
50,2009-09-12,USA,Human,False,Texas,A/Texas/45122036/2009,H1N1
51,1994-05-22,USA,Ruddy Turnstone/Avian,True,Delaware Bay,A/ruddy turnstone/Delaware Bay/82/1994,H1N1
52,2005-08-10,Malaysia,Human,False,,A/Malaysia/32217/2005,H1N1
53,2012-12-15,USA,Human,False,Boston,A/Boston/DOA2-102/2012,H3N2
54,2000-09-12,Australia,Human,False,Western Australia,A/Western Australia/3/2000,H3N2
55,2008-05-17,USA,Shorebird/Avian,False,Delaware Bay,A/shorebird/Delaware Bay/382/2008,H4N6
56,2010-08-12,Thailand,Human,False,Bangkok,A/Bangkok/INS482/2010,H1N1
57,2010-12-14,Peru,Human,False,,A/Peru/PER110/2010,H3N2
58,2011-09-24,USA,Duck/Avian,False,Wisconsin,A/wood duck/Wisconsin/11OS2912/2011,H3N6
59,2011-03-26,Japan,Chicken/Avian,False,Chiba,A/chicken/Chiba/1/2011,H5N1
60,2010-11-07,USA,Avian,True,Wisconsin,A/bufflehead/Wisconsin/10OS3204/2010,H12N5
61,2009-12-02,Netherlands,Human,False,,A/Netherlands/2822/2009,H1N1
62,2010-07-12,Thailand,Human,False,Khon Kaen,A/Khon Kaen/INS457/2010,H1N1
63,2013-01-02,USA,Human,False,Boston,A/Boston/YGA_00022/2013,H3N2
64,2004-02-19,Hong Kong,Human,False,,A/Hong Kong/HKU3/2004,H3N2
65,2004-09-25,New Zealand,Human,False,Canterbury,A/Canterbury/303/2004,H3N2
66,2012-11-13,USA,Weasel,False,South Dakota,A/mink/South Dakota/A01279427/2012,H1N1
67,2013-09-22,USA,Green-Winged Teal/Avian,False,Ohio,A/American green-winged teal/Ohio/13OS2106/2013,H3N8
68,2013-07-28,Nicaragua,Human,False,,A/Nicaragua/6966_06/2013,H3N2
69,2009-04-30,USA,Human,False,California,A/California/VRDL286/2009,H3N2
70,2008-06-29,Israel,Chicken/Avian,False,,A/chicken/Israel/330/2008,H9N2
71,2010-08-25,Canada,Avian,False,New Brunswick,A/blue-winged teal/New Brunswick/00775/2010,H3N8
72,2011-10-06,Nicaragua,Human,False,,A/Nicaragua/AGA2-27/2011,H1N1
73,2009-12-12,Germany,Human,False,Berlin,A/Berlin/INS362/2009,H1N1
74,2012-03-03,Finland,Human,False,Helsinki,A/Helsinki/942/2012,H1N1
75,2007-09-02,USA,Northern Shoveler/Avian,False,Alaska,A/northern shoveler/Alaska/7MP1669B/2007,H3N8
76,2009-11-04,Sweden,Mallard/Avian,False,,A/mallard/Sweden/101082/2009,H11N9
77,2012-07-18,USA,Mallard/Avian,False,California,A/mallard/California/2867/2012,H2N3
78,2010-12-13,United Kingdom,Human,False,England,A/England/05060444/2010,H1N1
79,2013-01-28,USA,Human,False,Boston,A/Boston/YGA_00096/2013,H3N2
80,2010-12-02,Singapore,Human,False,,A/Singapore/GP4523/2010,H1N1
81,2007-05-22,USA,Ruddy Turnstone/Avian,False,Delaware Bay,A/ruddy turnstone/Delaware Bay/123/2007,H7N3
82,2011-07-16,USA,Swine,False,Texas,A/swine/Texas/A01104004/2011,H1N1
83,2010-08-14,Canada,Mallard/Avian,True,Alberta,A/mallard/Alberta/590/2010,H7N8
84,2010-10-28,Peru,Human,False,,A/Peru/PER266/2010,H3N2
85,2005-05-11,Hong Kong,Human,False,,A/Hong Kong/HKU61/2005,H3N2
86,2009-09-10,USA,Human,False,Texas,A/Texas/45101424/2009,H1N1
87,2010-10-11,Peru,Human,False,,A/Peru/PER038/2010,H3N2
88,2007-02-20,USA,Human,False,Texas,A/Texas/UR06-0359/2007,H1N1
89,2008-04-01,India,Goose/Avian,False,Tripura,A/goose/Tripura/103596/2008,H5N1
90,2005-08-15,New Zealand,Human,False,Waikato,A/Waikato/9/2005,H3N2
91,2002-01-30,USA,Human,False,New York,A/New York/116/2002,H3N2
92,2009-08-08,Nicaragua,Human,False,Managua,A/Managua/4064.01/2009,H1N1
93,2011-08-12,USA,Mallard/Avian,False,California,A/mallard/California/2521P/2011,H3N8
94,2003-01-01,Viet Nam,Human,False,HaNoi,A/HaNoi/ARI172/2003,H1N1
95,2009-05-24,Dominican Republic,Human,False,Santo Domingo,A/Santo Domingo/0573N/2009,H1N1
96,1980-01-01,USA,Blue-Winged Teal/Avian,False,Wisconsin,A/blue-winged teal/Wisconsin/134/1980,H6N1
97,2009-12-17,Viet Nam,Human,False,,A/Viet Nam/11032010/2009,H1N1
98,2011-11-09,Germany,Swine,False,Langefoerden,A/swine/Langefoerden/IDT14189/2011,H1N2
99,2001-02-21,USA,Human,False,New York,A/New York/281/2001,H1N1
100,2000-01-01,Australia,Human,False,South Australia,A/South Australia/36/2000,H1N1
101,2013-01-23,USA,Human,False,Santa Clara,A/Santa Clara/YGA_03015/2013,H3N2
102,2014-03-10,USA,Human,False,New York,A/New York/WC-LVD-14-051/2014,H1N1
103,2010-10-11,Peru,Human,False,,A/Peru/PER169/2010,H3N2
104,2009-06-07,Japan,Human,False,Fukuoka-C,A/Fukuoka-C/2/2009,H1N1
105,2010-01-24,Greece,Human,False,Athens,A/Athens/INS398/2010,H1N1
106,2005-10-20,USA,Swine,False,North Carolina,A/swine/North Carolina/SG1477/2005,H1N1
107,2011-01-17,Taiwan,Human,False,,A/Taiwan/2649/2011,H1N1
