,Search Term,Returned Location,Longitude,Latitude
0,Canada,Canada,-106.346771,56.130366
1,Australia_New South Wales,"New South Wales, Australia",151.2052868,-33.864174
2,France_Reunion,"Réunion, 29680 Roscoff, France",-3.994668,48.702056
3,China_Hangzhou,"Hangzhou, Zhejiang, China",120.15507,30.274085
4,USA_Florida,"Florida, USA",-81.5157535,27.6648274
5,USA_Santa Clara,"Santa Clara, CA, USA",-121.9552356,37.3541079
6,Peru_Piura,"Piura, Peru",-80.633333,-5.2
7,Indonesia_Banten,"Banten, Republic of Indonesia",106.0640179,-6.4058172
8,South Korea_KU,"National Assembly of South Korea, Uisadang-daero, Yeoeuido-dong, Yeongdeungpo-gu, Seoul, South Korea",126.9191163,37.5318933
9,China_Guangzhou,"Guangzhou, Guangdong, China",113.264385,23.12911
10,USA_Minneapolis,"Minneapolis, MN, USA",-93.2650108,44.977753
11,Viet Nam_TayNguyen,"Tây Nguyên, Đăk Ha, Đắk Glong, Đăk Nông, Vietnam",107.7850886,12.083802
12,Sweden_Umea,"Umeå, Sweden",20.2630354,63.8258471
13,USA_South Dakota,"South Dakota, USA",-99.9018131,43.9695148
14,China_Xinjiang,"Xinjiang, China",87.627704,43.793026
15,Estonia_Tallinn,"Tallinn, Estonia",24.7535746,59.4369608
16,USA_Cambridge,"Cambridge, MA, USA",-71.1097335,42.3736158
17,Cote dIvoire_Cote d'Ivoire,Côte d'Ivoire,-5.54708,7.539989
18,United Kingdom_Brighton,"Brighton, The City of Brighton and Hove, UK",-0.137163,50.82253
19,New Zealand_South Canterbury,"Canterbury, New Zealand",171.1637245,-43.7542275
20,China_Fuzhou,"Fuzhou, Fujian, China",119.296494,26.074508
21,Germany_Sachsen-Anhalt,"Saxony-Anhalt, Germany",11.6922735,51.9502649
22,Peru_Trujillo,"Trujillo, Peru",-79.0215336,-8.1090524
23,Japan_Chiba-C,"Chiba, Chiba Prefecture, Japan",140.1062907,35.6072668
24,Japan_Chiba,"Chiba, Chiba Prefecture, Japan",140.1062907,35.6072668
25,China_Xuyi,"Xuyi, Huai'an, Jiangsu, China",118.544361,33.011971
26,Russia_Karasuk,"Karasuk, Novosibirsk Oblast, Russia",78.05,53.716667
27,Viet Nam_Hanoi,"Hanoi, Hoàn Kiếm, Hanoi, Vietnam",105.8341598,21.0277644
28,Russia_IIV-Anadyr,"Anadyr, Chukotka Autonomous Okrug, Russia, 689000",177.516667,64.733333
29,South Korea_Kyonggi,"Gyeonggi-do, South Korea",127.5183,37.4138
30,Russia_Barnaul,"Barnaul, Altai Krai, Russia",83.7697832,53.3547792
31,China_Nanjing,"Nanjing, Jiangsu, China",118.796877,32.060255
32,Canada_Prince Edward Island,"Prince Edward Island, Canada",-63.4168136,46.510712
33,China_Lengshuitan,"Lengshuitan, Yongzhou, Hunan, China",111.592143,26.461077
34,USA_San Antonio,"San Antonio, TX, USA",-98.4936282,29.4241219
35,Germany_Nordkirchen,"Nordkirchen, Germany",7.5222188,51.7385194
36,Russia_Cheboksary,"Cheboksary, Chuvashia Republic, Russia",47.233333,56.15
37,Germany_Potsdam,"Potsdam, Germany",13.0644729,52.3905689
38,Germany_Wagun,"Wagun, 17159 Dargun, Germany",12.8190403,53.869026
39,Australia_Westmead,"Westmead NSW 2145, Australia",150.9872768,-33.8076889
40,Japan_Hiroshima,"Hiroshima, Hiroshima Prefecture, Japan",132.4552927,34.3852029
41,New Zealand_Auckland,"Auckland, New Zealand",174.7633315,-36.8484597
42,Georgia_Republic of Georgia,"Tbilisi Airport (TBS), Tbilisi, Georgia",44.9568187,41.6697036
43,Russia_Ulan Ude,"Ulan-Ude, Buryatia, Russia",107.607338,51.8238785
44,Germany_Garrel,"Garrel, Germany",8.0255988,52.9531085
45,Thailand_Saraburi,"Saraburi, Thailand",100.9101421,14.5289154
46,Norway,Norway,8.468946,60.472024
47,Thailand_NaraThiwat,"Narathiwat, Thailand",101.8253143,6.4254607
48,USA_North Dakota,"North Dakota, USA",-101.0020119,47.5514926
49,Germany_Langefoerden,"Gera, Germany",12.0807203,50.8850706
50,Canada_NB,"New Brunswick, Canada",-66.4619164,46.5653163
51,Russia_Irkutsk,"International Airport Irkutsk (IKT), ulitsa Shiryamova, 13, Irkutsk, Irkutskaya oblast', Russia, 664000",104.3833366,52.2685014
52,Japan_Kanagawa,"Kanagawa Ward, Yokohama, Kanagawa Prefecture, Japan",139.6294307,35.4769011
53,South Korea_Korea,South Korea,127.766922,35.907757
54,Thailand_Kohn Kaen,"Khon Kaen Airport (KKC), Sila, Mueang Khon Kaen District, Khon Kaen 40000, Thailand",102.7867966,16.4651045
55,Germany_Rugen,"Rügen, 18528 Parchtitz, Germany",13.3630491,54.3519967
56,China_Tibet,"Tibet, China",91.117212,29.646923
57,Viet Nam_Ca Mau,"Ca Mau, Vietnam",105.1258955,8.9624099
58,Colombia_Bogota,"Bogotá, Bogota, Colombia",-74.075833,4.598056
59,Finland,Finland,25.748151,61.92411
60,Belgium_Gent,"Ghent, Belgium",3.7174243,51.0543422
61,USA_District of Columbia,"Washington, DC, USA",-77.0368707,38.9071923
62,New Zealand_Southland,"Southland, New Zealand",167.6755387,-45.8489159
63,Japan_Saitama,"Saitama, Saitama Prefecture, Japan",139.6454822,35.8617292
64,Canada_Nunavet,"Nunavut, Canada",-83.1075769,70.2997711
65,Canada_Canada-PQ,"Québec, Canada",-73.5491361,52.9399159
66,Portugal,Portugal,-8.224454,39.399872
67,Russia_Tomsk,"Tomsk, Tomsk Oblast, Russia",84.9924506,56.5010397
68,Thailand_swine,"Swine Breeds Center, Wang Rong Yai, Sikhio District, Nakhon Ratchasima 30140, Thailand",101.711528,15.0677554
69,New Zealand_Christchurch,"Christchurch, New Zealand",172.6362254,-43.5320544
70,Spain_Barcelona,"Barcelona–El Prat Airport (BCN), 08820 El Prat de Llobregat, Barcelona, Spain",2.0832941,41.297445
71,USA_OH,"Ohio, USA",-82.907123,40.4172871
72,Russia_Rostov-on-Don,"Rostov-on-Don, Rostov Oblast, Russia",39.7,47.233333
73,Germany_Bonn,"Bonn, Germany",7.0982068,50.73743
74,USA_Houston,"Houston, TX, USA",-95.3698028,29.7604267
75,Denmark_Aarhus,"Aarhus, Denmark",10.203921,56.162939
76,Egypt_Sharkia,"Ash Sharqia Governorate, Egypt",31.7195459,30.7326622
77,USA_Southeastern Alaska,"Southeast Tours, Skagway, AK 99840, USA",-135.3136088,59.4584011
78,Kuwait,Kuwait,47.481766,29.31166
79,Germany_Stralsund,"Stralsund, Germany",13.0770347,54.3090654
80,Qatar,Qatar,51.183884,25.354826
81,USA_Durham,"Durham, NC, USA",-78.898619,35.9940329
82,Australia_North Fitzroy,"Fitzroy VIC 3065, Australia",144.9786869,-37.7987007
83,Portugal_PT,Portugal,-8.224454,39.399872
84,Nigeria,Nigeria,8.675277,9.081999
85,Canada_GSC_chicken_B,"Calle C, Vicente Guerrero, 70980 Santa María Huatulco, Oax., Mexico",-96.320396,15.8244877
86,Taiwan_TW,Taiwan,120.960515,23.69781
87,Australia,Australia,133.775136,-25.274398
88,Canada_Ontario,"Ontario, Canada",-85.3232139,51.253775
89,USA_SD,"South Dakota, USA",-99.9018131,43.9695148
90,USA_Newark,"Newark, NJ, USA",-74.1723667,40.735657
91,Russia,Russia,105.318756,61.52401
92,Mongolia_Ulgii,"Ulgii, Mongolia",89.968611,48.968333
93,United Kingdom_Sheffield,"Sheffield, South Yorkshire, UK",-1.470085,53.381129
94,Indonesia_East Java,"East Java, Republic of Indonesia",112.2384017,-7.5360639
95,Hong Kong,Hong Kong,114.109497,22.396428
96,Poland_Warsaw,"Warsaw, Poland",21.0122287,52.2296756
97,China_Hubei,"Hubei, Luohu, Shenzhen, China, 518040",114.125215,22.544253
98,USA_North Carolina,"North Carolina, USA",-79.0192997,35.7595731
99,Canada_Quebec,"Québec, Canada",-73.5491361,52.9399159
100,Denmark,Denmark,9.501785,56.26392
101,Philippines,Philippines,121.774017,12.879721
102,Viet Nam_ThaiBinh,"Thái Bình, Thai Binh, Vietnam",106.3365828,20.4463471
103,USA_Colorado,"Colorado, USA",-105.7820674,39.5500507
104,Australia_chicken,"Hen And Chicken Road, Bathurst NSW 2795, Australia",149.5236504,-33.4699692
105,South Korea,South Korea,127.766922,35.907757
106,Viet Nam_Quang Ninh,"Quảng Ninh Province, Vietnam",107.2925144,21.006382
107,Viet Nam_TayNinh,"Bảo tàng Tây Ninh, Ba Mươi tháng Tư, Khu phố 1, Phường 3, tx. Tây Ninh, Tây Ninh, Vietnam",106.1007011,11.3197972
108,Mexico_Puebla,"Puebla, Puebla, Mexico",-98.2061996,19.0412967
109,Russia_Magadan,"Magadan Airport (GDX), Аэропорт Магадан, Magadan, Magadanskaya oblast', Russia, 685918",150.7291948,59.9120057
110,USA_New York,"New York, NY, USA",-74.0059413,40.7127837
111,USA_PA,"Pennsylvania, USA",-77.1945247,41.2033216
112,Lebanon,Lebanon,35.862285,33.854721
113,Thailand_Chonburi,"Chon Buri, Thailand",100.9846717,13.3611431
114,Peru_Lima,"Lima, Peru",-77.0427934,-12.046374
115,USA_GA,"Georgia, USA",-82.9000751,32.1656221
116,USA_New Jersey,"New Jersey, USA",-74.4056612,40.0583238
117,China_Guizhou,"Guizhou, China",106.70741,26.598194
118,France_OMS,"Oms, France",2.696445,42.543113
119,Poland_Wroclaw,"Wrocław, Poland",17.0385376,51.1078852
120,Nepal,Nepal,84.124008,28.394857
121,China_Ya'an,"Ya'an, Sichuan, China",103.013261,29.980537
122,Japan_Osaka,"Osaka, Osaka Prefecture, Japan",135.5021651,34.6937378
123,Germany_Jena,"Jena, Germany",11.5892372,50.927054
124,Peru_Pucallpa,"Pucallpa, Peru",-74.5826166,-8.3928622
125,Netherlands_Rotterdam,"Rotterdam, Netherlands",4.4777325,51.9244201
126,Canada_SK,"Saskatchewan, Canada",-106.4508639,52.9399159
127,Russia_Primorje,"Primorsky Krai, Russia",135.0,45.0525641
128,Germany_Heudorf-Messkirch,"Heudorf, 88605 Meßkirch, Germany",9.073,47.994781
129,China_Hunan,"Hunan, China",112.98381,28.112449
130,Mexico_Durango,"Durango, Dgo., Mexico",-104.6531759,24.0277202
131,Thailand_Nakhonsawan,"Nakhon Sawan Airport, Klang Daet, Mueang Nakhon Sawan District, Nakhon Sawan 60000, Thailand",100.1371189,15.6690538
132,Russia_Volgograd,"Volgograd, Volgograd Oblast, Russia",44.516667,48.7
133,Germany_Bavaria,"Bavaria, Germany",11.4978895,48.7904472
134,USA_LA,"Louisiana, USA",-91.9623327,30.9842977
135,Thailand_Ratchaburi,"Ratchaburi, Thailand",99.8134211,13.5282893
136,Hong Kong_Jiangxi,"Hong Kong Garden, Lian Xiang Da Dao, Guangchang Xian, Fuzhou Shi, Jiangxi Sheng, China, 344900",116.323647,26.849726
137,Japan_Gifu-C,"Gifu, Gifu Prefecture, Japan",136.7606537,35.4232984
138,Pakistan_Rawalpindi,"Rawalpindi, Pakistan",73.0441352,33.598394
139,Denmark_Odense,"Odense, Denmark",10.40237,55.403756
140,Uganda,Uganda,32.290275,1.373333
141,Indonesia_North Sumatra,"North Sumatra, Republic of Indonesia",98.9784887,2.0108563
142,USA_Brownsville,"Brownsville, TX, USA",-97.4974838,25.9017472
143,USA_Southcentral Alaska,"Central, AK 99730, USA",-144.8030556,65.5725
144,Netherlands_common eider,"Neuquén Province, Argentina",-69.6691186,-38.8233843
145,Thailand_Bangkok,"Bangkok, Thailand",100.5017651,13.7563309
146,Mexico,Mexico,-102.552784,23.634501
147,Viet Nam_DaNang,"Da Nang, Da Nang, Vietnam",108.2021667,16.0544068
148,USA_Wisconsin,"Wisconsin, USA",-88.7878678,43.7844397
149,Germany_Cloppenburg,"Cloppenburg, Germany",8.0530158,52.844198
150,Germany_Althausen,"Althausen, 97702 Münnerstadt, Germany",10.230344,50.247964
151,USA_Kansas,"Kansas, USA",-98.4842465,39.011902
152,USA_Interior Alaska,"US Department of the Interior, 3601 C Street # 1100, Anchorage, AK 99503, USA",-149.884474,61.18759
153,Mexico_Merida,"97139 Merida, Yucatan, Mexico",-89.5925857,20.9673702
154,USA_Dayton,"Dayton, OH, USA",-84.1916069,39.7589478
155,China_SanJiang,"Sanjiang, Liuzhou, Guangxi, China",109.607682,25.783191
156,Mexico_Yucatan,"Yucatan, Mexico",-89.0943377,20.7098786
157,USA_Tennessee,"Tennessee, USA",-86.5804473,35.5174913
158,Canada_Alberta,"Alberta, Canada",-116.5765035,53.9332706
159,Japan_Shiga,"Shiga Prefecture, Japan",135.8685899,35.0045306
160,United Kingdom_England,"England, UK",-1.1743197,52.3555177
161,Viet Nam_Ninh Binh,"Ninh Bình Province, Vietnam",105.92299,20.2129969
162,Australia_Cairns North,"Cairns North QLD 4870, Australia",145.7594332,-16.9063591
163,China_Liaoning,"Liaoning, China",123.431383,41.836175
164,Indonesia_Yogjakarta,"Yogyakarta City, Yogyakarta City, Special Region of Yogyakarta, Republic of Indonesia",110.3694896,-7.7955798
165,Netherlands_swine,"Neuquén Province, Argentina",-69.6691186,-38.8233843
166,Saudi Arabia,Saudi Arabia,45.079162,23.885942
167,China_mallard,"Mallard Drive, Saint Clair, MI 48079, USA",-82.5063462,42.8275782
168,Japan_Miyazaki,"Miyazaki, Miyazaki Prefecture, Japan",131.4202411,31.9076736
169,Russia_Orenburg,"Orenburg, Orenburg Oblast, Russia",55.1004538,51.7666482
170,Guatemala,Guatemala,-90.230759,15.783471
171,Japan_Fukuoka-C,"Fukuoka, Fukuoka Prefecture, Japan",130.4017155,33.5903547
172,United Arab Emirates_Emirates,Emirates - 35th Street - Dubai - United Arab Emirates,55.3658156,25.2410514
173,Germany_Duelmen,"Dülmen, Germany",7.2834926,51.8316451
174,Spain,Spain,-3.74922,40.463667
175,Canada_Saskatchewan,"Saskatchewan, Canada",-106.4508639,52.9399159
176,United Kingdom_Headington,"Headington, Oxford, Oxford, UK",-1.1985742,51.7626463
177,Colombia_Medellin,"Medellín, Antioquia, Colombia",-75.590556,6.230833
178,USA_Brooklyn,"Brooklyn, NY, USA",-73.9441579,40.6781784
179,China_Xianghai,"Xianghai, Tongyu, Baicheng, Jilin, China",122.349124,45.025937
180,China_Guangxi,"Guangxi, China",108.327546,22.815478
181,Japan_Kyoto,"Kyoto, Kyoto Prefecture, Japan",135.7680294,35.0116363
182,USA_Nevada,"Nevada, USA",-116.419389,38.8026097
183,Australia_Canberra,"Canberra ACT 2601, Australia",149.1286843,-35.2819998
184,Myanmar_Pyigyitagon,"Pyigyitagon, Mandalay, Republic of the Union of Myanmar",96.1049958,21.9048038
185,Canada_Canada-MB,"Manitoba, Canada",-98.8138763,53.7608608
186,Egypt_El Fayoum,"Faiyum, Qesm Al Fayoum, Al Fayoum, Faiyum Governorate, Egypt",30.8428497,29.3084021
187,USA_Great Lakes,The Great Lakes,-82.4846115,45.0522366
188,Germany_Bochum,"Bochum, Germany",7.2162363,51.4818445
189,India,India,78.96288,20.593684
190,USA_Baylor,"Baylor, MT 59230, USA",-106.4794775,48.6633585
191,USA_Maryland,"Maryland, USA",-76.6412712,39.0457549
192,Viet Nam_HaNoi,"Hanoi, Hoàn Kiếm, Hanoi, Vietnam",105.8341598,21.0277644
193,Viet Nam_NamDinh,"Ga Nam Định, Lương Thế Vinh, tp. Nam Định, Nam Định, Vietnam",106.1640668,20.4217815
194,USA_Virginia,"Virginia, USA",-78.6568942,37.4315734
195,Germany_Warendorf,"Warendorf, Germany",7.9908987,51.9538685
196,Russia_Vladivistok,"Vladivostok, Primorsky Krai, Russia",131.9,43.133333
