,Country,Species
0,Canada,Pintail
1,Canada,Turkey
2,Canada,Ruddy Turnstone
3,Canada,American Black Duck
4,Canada,Unknown
5,Canada,Swan
6,Canada,Redhead Duck
7,Canada,Redhead
8,Canada,Murre
9,Canada,Scaup
10,Canada,Avian
11,Canada,White-Rumped Sandpiper
12,Canada,Canada Goose
13,Canada,Bufflehead
14,Canada,Blue-Winged Teal
15,Canada,American Wigeon
16,Canada,Green-Winged Teal
17,Canada,Lesser Scaup
18,Canada,Northern Pintail
19,Canada,Swine
20,Canada,Hooded Merganser
21,Canada,Common Coot
22,Canada,Shoveler
23,Canada,Black Scoter
24,Canada,Goose
25,Canada,Mallard
26,Canada,Human
27,Canada,Duck
28,Canada,Mallard-Black Duck Hybrid
29,Canada,Chicken
30,Cambodia,Stork
31,Cambodia,Environment
32,Cambodia,Chicken
33,Cambodia,Human
34,Cambodia,Duck
35,Argentina,Rosy-Billed Pochard
36,Argentina,Horse
37,Argentina,Human
38,Bolivia,Human
39,Saudi Arabia,Turkey
40,Saudi Arabia,Falcon
41,Saudi Arabia,Avian
42,Slovenia,Swan
43,Guatemala,Chicken
44,Guatemala,Blue-Winged Teal
45,Spain,Swine
46,Spain,Human
47,Netherlands,Teal
48,Netherlands,Mute Swan
49,Netherlands,Shoveler
50,Netherlands,Herring Gull
51,Netherlands,Barnacle Goose
52,Netherlands,Black-Headed Gull
53,Netherlands,Goose
54,Netherlands,Mallard
55,Netherlands,Ruddy Turnstone
56,Netherlands,Eurasian Wigeon
57,Netherlands,Swine
58,Netherlands,Human
59,Netherlands,Northern Shoveler
60,Netherlands,Common Eider
61,Netherlands,Pink-Footed Goose
62,Netherlands,Chicken
63,Netherlands,Bewick's Swan
64,New Zealand,Mallard
65,New Zealand,Human
66,Pakistan,Chicken
67,United Arab Emirates,Chicken
68,Guam,Human
69,India,Goose
70,India,Aquatic Bird
71,India,Chicken
72,India,Human
73,South Korea,Baikal Teal
74,South Korea,Horse
75,South Korea,Eurasian Eagle-Owl
76,South Korea,Domestic Cat
77,South Korea,Teal
78,South Korea,Aquatic Bird
79,South Korea,Common Coot
80,South Korea,Dog
81,South Korea,Goose
82,South Korea,Mallard
83,South Korea,Waterfowl
84,South Korea,Swine
85,South Korea,Human
86,South Korea,Duck
87,South Korea,Chicken
88,South Korea,Tundra Swan
89,South Korea,Bird
90,South Korea,Environment
91,Turkey,Human
92,Afghanistan,Chicken
