,Country,Species,Habitat/setting,Host,Human-interface,Check surveillance data,Notes
0,Canada,null,Unknown,,,,
1,Russia,Grebe/Avian,Wild,,,,
2,USA,Dove/Avian,Wild,,,,
3,Bangladesh,Duck/Avian,Domestic,,,,
4,Hong Kong,Guineafowl/Avian,Domestic,,,,
5,Georgia,Duck/Avian,Wild,,,,
6,South Korea,Common Coot/Avian,Wild,,,,
7,USA,Common Scoter/Avian,Wild,,,,
8,China,Baikal Teal/Avian,Wild,,,,
9,Canada,Mallard/Avian,Wild,,,,
10,Hong Kong,Barn Swallow/Avian,Wild,,,,
11,Canada,Mallard-Black Duck Hybrid/Avian,Wild,,,,
12,USA,Long-Tailed Duck/Avian,Wild,,,,
13,Thailand,Quail/Avian,Domestic,,,,
14,Iceland,Mallard/Avian,Wild,,,,
15,USA,Black Duck/Avian,Wild,,,,
16,USA,Greater White-Fronted Goose/Avian,Wild,,,,
17,Indonesia,Quail/Avian,Domestic,,,,
18,China,Canvasback/Avian,Wild,,,,
19,France,Muscovy Duck/Avian,Domestic,,,,
20,Canada,Duck/Avian,Wild,,,,
21,South Korea,Aquatic Bird/Avian,Wild,,,,
22,Japan,Tufted Duck/Avian,Wild,,,,
23,Germany,Mallard/Avian,Wild,,,,
24,Russia,Goose/Avian,Wild,,,,
25,Netherlands,Mute Swan/Avian,Wild,,,,
26,Russia,Muscovy Duck/Avian,Domestic,,,,
27,Hong Kong,Peregrine Falcon/Avian,Wild,,,,
28,South Korea,Goose/Avian,Domestic,,,,
29,Nigeria,Chicken/Avian,Domestic,,,,
30,Japan,Parakeet/Avian,Wild,,,,
31,Italy,Poultry/Avian,Domestic,,,,
32,Denmark,Duck/Avian,Wild,,,,
33,Hong Kong,Duck/Avian,Domestic,,,,
34,USA,Teal/Avian,Wild,,,,
35,New Zealand,Mallard/Avian,Wild,,,,
36,Hong Kong,Magpie Robin/Avian,Wild,,,,
37,China,Shrike/Avian,Wild,,,,
38,USA,Pigeon/Avian,Wild,,,,
39,Viet Nam,Goose/Avian,Domestic,,,,
40,Georgia,Gull/Avian,Wild,,,,
41,Canada,Scaup/Avian,Wild,,,,
42,Laos,Chicken/Avian,Domestic,,,,
43,USA,Lesser Scaup/Avian,Wild,,,,
44,Russia,Pigeon/Avian,Wild,,,,
45,Japan,Whooper Swan/Avian,Wild,,,,
46,USA,Common Murre/Avian,Wild,,,,
47,Japan,Tundra Swan/Avian,Wild,,,,
48,Cote dIvoire,Turkey/Avian,Domestic,,,,
49,Canada,Blue-Winged Teal/Avian,Wild,,,,
50,Japan,Crane/Avian,Wild,,,,
51,China,Magpie/Avian,Wild,,,,
52,South Korea,Baikal Teal/Avian,Wild,,,,
53,Russia,Mallard/Avian,Wild,,,,
54,USA,Least Sandpiper/Avian,Wild,,,,
55,Afghanistan,Chicken/Avian,Domestic,,,,
56,Guatemala,Blue-Winged Teal/Avian,Wild,,,,
57,USA,Goose/Avian,Wild,,,,
58,Netherlands,Herring Gull/Avian,Wild,,,,
59,USA,Black Scoter/Avian,Wild,,,,
60,Georgia,Garganey/Avian,Wild,,,,
61,Russia,null,Unknown,,,,
62,Pakistan,Chicken/Avian,Domestic,,,,
63,Zambia,Duck/Avian,Domestic,,,,
64,Canada,Bufflehead/Avian,Wild,,,,
65,Romania,Horse,Domestic,,,,
66,USA,Gull/Avian,Wild,,,,
67,Thailand,Little Grebe/Avian,Wild,,,,
68,France,Duck/Avian,Wild,,,,
69,Italy,Duck/Avian,Wild,,,,
70,Egypt,Goose/Avian,Domestic,,,,
71,USA,Ring-Necked Duck/Avian,Wild,,,,
72,Georgia,Black-Headed Gull/Avian,Wild,,,,
73,Viet Nam,Japanese Quail/Avian,Domestic,,,,
74,Russia,Duck/Avian,Wild,,,,
75,USA,Parrot/Avian,Wild,,,,
76,South Korea,Chicken/Avian,Domestic,,,,
77,Indonesia,Duck/Avian,Domestic,,,,
78,Canada,Goose/Avian,Wild,,,,
