,Country,Species,Habitat/setting,Host,Human-interface,Check surveillance data,Notes
0,Canada,Pintail,Wild,Avian,Low,No,
1,Canada,Turkey,Domestic,Avian,High,No,
2,Canada,Ruddy Turnstone,Wild,Avian,Low,No,
3,Canada,American Black Duck,Wild,Avian,Low,No,
4,Canada,Unknown,Unknown,Avian,,Yes,Thanks Canada.
5,Canada,Swan,Wild,Avian,Low,No,
6,Canada,Redhead Duck,Wild,Avian,Low,No,
7,Canada,Redhead,Wild,Avian,Low,No,
8,Canada,Murre,Wild,Avian,Low,No,
9,Canada,Scaup,Wild,Avian,Low,No,
10,Canada,Lesser Scaup,Wild,Avian,Low,No,
11,Canada,White-Rumped Sandpiper,Wild,Avian,Low,No,
12,Canada,Canada Goose,Wild,Avian,Low,No,
13,Canada,Bufflehead,Wild,Avian,Low,No,
14,Canada,Blue-Winged Teal,Wild,Avian,Low,No,
15,Canada,American Wigeon,Wild,Avian,Low,No,
16,Canada,Green-Winged Teal,Wild,Avian,Low,No,
17,Canada,Avian,Unknown,Avian,,Yes,
18,Canada,Northern Pintail,Wild,Avian,Low,No,
19,Canada,Swine,Domestic,Mammal,High,No,
20,Canada,Hooded Merganser,Wild,Avian,Low,No,
21,Canada,Common Coot,Wild,Avian,Low,No,
22,Canada,Shoveler,Wild,Avian,Low,No,
23,Canada,Black Scoter,Wild,Avian,Low,No,
24,Canada,Goose,Wild,Avian,Low,No,
25,Canada,Mallard,Wild,Avian,Low,No,
26,Canada,Human,Human,Mammal,High,No,
27,Canada,Duck,Unknown,Avian,,Yes,
28,Canada,Mallard-Black Duck Hybrid,Wild,Avian,Low,No,
29,Canada,Chicken,Domestic,Avian,High,No,
30,Brazil,Semipalmated Sandpiper,Wild,Avian,Low,No,
31,Brazil,Swine,Domestic,Mammal,High,No,
32,Brazil,Human,Human,Mammal,High,No,
33,Qatar,Human,Human,Mammal,High,No,
34,Italy,Poultry,Domestic,Avian,High,No,
35,Italy,Turkey,Domestic,Avian,High,No,
36,Italy,Horse,Domestic,Mammal,High,No,
37,Italy,Mute Swan,Wild,Avian,Low,No,
38,Italy,Teal,Wild,Avian,Low,No,
39,Italy,Ostrich,Wild,Avian,Low,No,
40,Italy,Guineafowl,Domestic,Avian,High,No,
41,Italy,Mallard,Wild,Avian,Low,No,
42,Italy,Swine,Domestic,Mammal,High,No,
43,Italy,Human,Human,Mammal,High,No,
44,Italy,Duck,Domestic,Avian,High,No,
45,Italy,Quail,Domestic,Avian,High,No,
46,Italy,Chicken,Domestic,Avian,High,No,
47,Bangladesh,Environment,Unknown,Unknown,,Yes,
