,Country,Species,Habitat/setting,Host,Human-interface,Check surveillance data,Notes
363,USA,American Black Duck/Avian,Wild,,,,
390,Canada,American Black Duck/Avian,Wild,,,,
386,USA,American Green-Winged Teal/Avian,Wild,,,,
330,Canada,American Wigeon/Avian,Wild,,,,
417,USA,American Wigeon/Avian,Wild,,,,
28,South Korea,Aquatic Bird/Avian,,,,,
182,Viet Nam,Aquatic Bird/Avian,,,,,
253,India,Aquatic Bird/Avian,,,,,
297,Viet Nam,Babbler/Avian,,,,,
9,China,Baikal Teal/Avian,,,,,
73,South Korea,Baikal Teal/Avian,,,,,
422,China,Bar-Headed Goose/Avian,,,,,
12,Hong Kong,Barn Swallow/Avian,,,,,
237,Netherlands,Barnacle Goose/Avian,Wild,,,,
131,Netherlands,Bewick's Swan/Avian,Wild,,,,
285,South Korea,Bird/Avian,,,,,
361,USA,Bird/Avian,Wild,,,,
428,China,Bird/Avian,,,,,
18,USA,Black Duck/Avian,Wild,,,,
348,Australia,Black Duck/Avian,,,,,
83,USA,Black Scoter/Avian,Wild,,,,
458,Canada,Black Scoter/Avian,Wild,,,,
381,China,Black-Billed Magpie/Avian,,,,,
104,Georgia,Black-Headed Gull/Avian,,,,,
115,Sweden,Black-Headed Gull/Avian,Wild,,,,
164,Netherlands,Black-Headed Gull/Avian,Wild,,,,
354,Mongolia,Black-Headed Gull/Avian,,,,,
415,Iceland,Black-Headed Gull/Avian,Wild,,,,
69,Canada,Blue-Winged Teal/Avian,Wild,,,,
80,Guatemala,Blue-Winged Teal/Avian,,,,,
350,USA,Blue-Winged Teal/Avian,Wild,,,,
387,China,Brown-Headed Gull/Avian,,,,,
91,Canada,Bufflehead/Avian,Wild,,,,
371,USA,Bufflehead/Avian,Wild,,,,
168,USA,Canada Goose/Avian,Wild,,,,
338,Canada,Canada Goose/Avian,Wild,,,,
23,China,Canvasback/Avian,,,,,
40,Nigeria,Chicken/Avian,Domestic,,,,
60,Laos,Chicken/Avian,Domestic,,,,
78,Afghanistan,Chicken/Avian,Domestic,,,,
87,Pakistan,Chicken/Avian,Domestic,,,,
110,South Korea,Chicken/Avian,Domestic,,,,
128,India,Chicken/Avian,Domestic,,,,
129,Netherlands,Chicken/Avian,Domestic,,,,
138,Australia,Chicken/Avian,Domestic,,,,
140,Kuwait,Chicken/Avian,Domestic,,,,
170,Mexico,Chicken/Avian,Domestic,,,,
180,Germany,Chicken/Avian,Domestic,,,,
183,Bhutan,Chicken/Avian,Domestic,,,,
187,Egypt,Chicken/Avian,Domestic,,,,
188,Taiwan,Chicken/Avian,Domestic,,,,
199,Cote dIvoire,Chicken/Avian,Domestic,,,,
210,Israel,Chicken/Avian,Domestic,,,,
222,United Arab Emirates,Chicken/Avian,Domestic,,,,
232,China,Chicken/Avian,Domestic,,,,
233,Japan,Chicken/Avian,Domestic,,,,
247,Italy,Chicken/Avian,Domestic,,,,
263,Poland,Chicken/Avian,Domestic,,,,
298,Indonesia,Chicken/Avian,Domestic,,,,
332,Myanmar,Chicken/Avian,Domestic,,,,
351,Viet Nam,Chicken/Avian,Domestic,,,,
376,Canada,Chicken/Avian,Domestic,,,,
378,Sudan,Chicken/Avian,Domestic,,,,
388,Iran,Chicken/Avian,Domestic,,,,
399,Thailand,Chicken/Avian,Domestic,,,,
400,Cambodia,Chicken/Avian,Domestic,,,,
411,Hong Kong,Chicken/Avian,Domestic,,,,
413,USA,Chicken/Avian,Domestic,,,,
419,Guatemala,Chicken/Avian,Domestic,,,,
445,Bangladesh,Chicken/Avian,Domestic,,,,
450,Russia,Chicken/Avian,Domestic,,,,
393,Hong Kong,Chukar/Avian,,,,,
433,USA,Chukar/Avian,Wild,,,,
407,Mexico,Cinnamon Teal/Avian,,,,,
423,USA,Cinnamon Teal/Avian,Wild,,,,
7,South Korea,Common Coot/Avian,,,,,
207,Canada,Common Coot/Avian,Wild,,,,
117,USA,Common Eider/Avian,Wild,,,,
368,Netherlands,Common Eider/Avian,Wild,,,,
224,USA,Common Goldeneye/Avian,Wild,,,,
324,Mongolia,Common Goldeneye/Avian,,,,,
65,USA,Common Murre/Avian,Wild,,,,
8,USA,Common Scoter/Avian,Wild,,,,
409,China,Condor/Avian,,,,,
256,USA,Coot/Avian,Wild,,,,
70,Japan,Crane/Avian,,,,,
439,Japan,Crow/Avian,,,,,
3,USA,Dove/Avian,Wild,,,,
248,Viet Nam,Dove/Avian,,,,,
4,Bangladesh,Duck/Avian,,,,,
6,Georgia,Duck/Avian,,,,,
26,Canada,Duck/Avian,Wild,,,,
43,Denmark,Duck/Avian,Wild,,,,
44,Hong Kong,Duck/Avian,,,,,
88,Zambia,Duck/Avian,,,,,
97,France,Duck/Avian,Wild,,,,
98,Italy,Duck/Avian,Wild,,,,
