Index,Species,Scientific Name
0,Horse,Equus ferus caballus
1,American Green-Winged Teal,Anas carolinensis
2,Unknown,
3,Heron,Ardea cinerea
4,Grey Heron,Ardea cinerea
5,Whiskered Tern,Chlidonias hybrida
6,Northern Shoveler,Anas clypeata
7,Redhead,Aythya americana
8,Murre,Uria aalge
9,Canada Goose,Branta canadensis
10,Bird,
11,Peregrine Falcon,Falco peregrinus
12,Red-Crested Pochard,Netta rufina
13,Wild Chicken,Gallus gallus jabouillei
14,Myna,Acridotheres cristatellus
15,Bufflehead,Bucephala albeola
16,Red-Necked Stint,Calidris ruficollis
17,Bewick's Swan,Cygnus columbianus
18,Ring-Necked Duck,Aythya collaris
19,Knot,Calidris canutus
20,White-Winged Scoter,Melanitta deglandi
21,Green-Winged Teal,Anas carolinensis
22,Sanderling,Calidris alba
23,Magpie,Pica hudsonia
24,Stork,Anastomus oscitans
25,Pheasant,Phasianus colchicus
26,Barnacle Goose,Branta leucopsis
27,Goose,Anser anser
28,Weasel,Mustela nivalis
29,Openbill Stork,Anastomus oscitans
30,Quail,Coturnix japonica
31,Panda,Ailuropoda melanoleuca
32,Parakeet,Melopsittacus undulatus
33,Pintail,Anas acuta
34,Ruddy Turnstone,Arenaria interpres
35,Magpie Robin,Copsychus saularis
36,Glaucous Gull,Larus hyperboreus
37,Gull,Larus pacificus
38,Saker Falcon,Falco cherrug
39,Common Eider,Somateria mollissima
40,Redhead Duck,Aythya americana
41,Rook,Corvus frugilegus
42,Finch,Fringilla coelebs
43,Rhea,Rhea americana
44,Muscovy Duck,Cairina moschata
45,Common Murre,Uria aalge
46,Scaup,Aythya marila
47,Lesser Scaup,Aythya affinis
48,Coot,Fulica atra
49,Black-Headed Gull,Larus ridibundus
50,White-Rumped Sandpiper,Calidris fuscicollis
51,Guineafowl,Hamanumida daedalus
52,Ferret,Mustela putorius furo
53,Aquatic Bird,
54,Eurasian Eagle-Owl,Bubo bubo
55,Domestic Cat,Felis catus
56,Little Egret,Egretta garzetta
57,Duck,Anas platyrhynchos
58,Sharp-Tailed Sandpiper,Calidris acuminata
59,Black Duck,Anas rubripes
60,Ostrich,Struthio camelus
61,Tufted Duck,Aythya fuligula
62,Waterfowl,Anas platyrhynchos
63,Swine,Sus scrofa
64,Teal,Anas carolinensis
65,Sooty Tern,Sterna fuscata
66,Shorebird,
67,Common Coot,Fulica atra
68,Mute Swan,Cygnus olor
69,Shoveler,Anas clypeata
70,Red Knot,Calidris canutus
71,Human,Homo sapiens
72,Chukar,Alectoris chukar
73,Babbler,Eupetes macrocerus
74,Turkey,"Meleagris gallopavo
"
75,American Black Duck,Anas rubripes
76,Canvasback,Aythya valisineria
77,Pigeon,Patagioenas picazuro
78,Japanese Quail,Coturnix japonica
79,Environment,none
80,Long-Tailed Duck,Clangula hyemalis
81,Least Sandpiper,Calidris minutilla
82,Tundra Swan,Cygnus columbianus
83,Avian,vague
84,Condor,Gymnogyps californianus
85,Partridge,vague
86,Dove,vague
87,Baikal Teal,Anas formosa
88,Iceland Gull,Larus glaucoides
89,American Wigeon,Anas americana
90,Silky Chicken,Gallus gallus
91,Semipalmated Sandpiper,Calidris pusilla
92,Northern Pintail,Anas acuta
93,Crane,Grus grus
94,Softbill,none
95,Herring Gull,Larus argentatus
96,Sparrow,Passer domesticus
97,Spot-Billed Duck,Anas poecilorhyncha
98,Black Scoter,Melanitta nigra
99,Emu,vague
100,Starling,none
101,Flycatcher,vague
102,Brown-Headed Gull,Larus brunnicephalus
103,Great Crested Grebe,Podiceps cristatus
104,Egret,Egretta garzetta
105,Swan,Cygnus olor
106,Common Goldeneye,"Bucephala clangula
"
107,Bar-Headed Goose,Anser indicus
108,Great Black-Headed Gull,Larus ichthyaetus
109,Grebe,vague
110,null,none
111,Eagle,vague
112,Common Scoter,Melanitta fusca
113,Cinnamon Teal,Anas cyanoptera
114,Whooper Swan,Cygnus cygnus
115,Little Grebe,Tachybaptus ruficollis
116,Tree Sparrow,Passer montanus
117,Greater White-Fronted Goose,Anser albifrons
118,Falcon,vague
119,Poultry,Gallus gallus
120,Blue-Winged Teal,Anas discors
121,Parrot,vague
122,Rosy-Billed Pochard,Netta peposaca
123,Large Cat,vague
124,Dog,Canis familiaris
125,Eurasian Wigeon,Anas penelope
126,Hooded Merganser,Lophodytes cucullatus
127,Pink-Footed Goose,Anser brachyrhynchus
128,Shrike,vague
129,Barn Swallow,Hirundo rustica
130,Laughing Gull,Larus atricilla
131,Greater Scaup,Aythya marila
132,Pelican,Pelecanus onocrotalus
133,Garganey,Anas querquedula
134,Gadwall,Anas strepera
135,Black-Billed Magpie,Pica hudsonia
136,Camel,Camelus dromedarius
137,Crow,Corvus corax
138,Snow Goose,Chen caerulescens
139,Dunlin,Calidris alpina
140,Mallard,Anas platyrhynchos
141,Mallard-Black Duck Hybrid,vague
142,Chicken,Gallus gallus
