,Species,Order,Family,Closest Species,Genbank ID
0,Horse,Perissodactyla,Equidae,Equus caballus,AJ311673.1
1,American Green-Winged Teal,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
2,Unknown,,,,
3,Heron,Pelecaniformes,Ardeidae,,
4,Grey Heron,Pelecaniformes,Ardeidae,,
5,Whiskered Tern,Charadriiformes,Sternidae,Larus glaucoides,AF173637.1
6,Northern Shoveler,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
7,Redhead,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
8,Murre,Charadriiformes,Alcidae,Larus glaucoides,AF173637.1
9,Canada Goose,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
10,Bird,,,,
11,Peregrine Falcon,Falconiformes,Falconidae,Neophron percnopterus,AF173633.1
12,Red-Crested Pochard,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
13,Wild Chicken,Galliformes,Phasianidae,Gallus gallus,M59389.1
14,Myna,Passeriformes,Sturnidae,Acridotheres tristis,EF426478.1
15,Bufflehead,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
16,Red-Necked Stint,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
17,Bewick's Swan,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
18,Ring-Necked Duck,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
19,Knot,Charadriiformes,Scolopacidae,Larus glaucoides,AF173637.1
20,White-Winged Scoter,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
21,Green-Winged Teal,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
22,Sanderling,Charadriiformes,Scolopacidae,Larus glaucoides,AF173637.1
23,Magpie,Passeriformes,Corvidae,Corvus macrorhynchos,D38334.1
24,Stork,Ciconiiformes,Ciconiidae,Ciconia nigra,AF173636.1
25,Pheasant,Phasianidae,Phasianinae,Gallus gallus,M59389.1
26,Barnacle Goose,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
27,Goose,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
28,Weasel,Carnivora,Mustelidae,Meles meles,AY150554.1
29,Openbill Stork,Ciconiiformes,Ciconiidae,Ciconia nigra,AF173636.1
