Name,Sequence Accession,Complete Genome,Segment,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name
HA,K00429,No,4,1730,H7N7,6/3/09,IRD:null,USA,Massachusetts,-N/A-,A/seal/Mass/1/1980
HA,CY083910,Yes,4,1752,H1N1,11/23/09,IRD:Human,Denmark,-N/A-,10-Sep,A/Aalborg/INS132/2009(H1N1)
HA,CY063606,Yes,4,1734,H1N1,12/2/09,IRD:Human,Denmark,-N/A-,10-Sep,A/Aalborg/INS133/2009(H1N1)
HA,CY083776*,No,4,1748,H1N1,11/25/09,IRD:Human,Denmark,-N/A-,10-Sep,A/Aalborg/INS282/2009
HA,CY073725,Yes,4,1734,H1N1,12/7/09,IRD:Human,Denmark,-N/A-,10-Sep,A/Aalborg/INS283/2009(H1N1)
HA,CY062691,Yes,4,1734,H1N1,11/24/09,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS116/2009(H1N1)
HA,CY062699,Yes,4,1734,H1N1,11/27/09,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS118/2009(H1N1)
HA,CY066935,Yes,4,1734,H1N1,11/19/09,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS236/2009(H1N1)
HA,CY066943,Yes,4,1734,H1N1,11/23/09,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS237/2009(H1N1)
HA,CY066951,Yes,4,1734,H1N1,11/24/09,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS238/2009(H1N1)
HA,CY083761*,No,4,1750,H1N1,11/25/09,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS239/2009
HA,CY066959,Yes,4,1734,H1N1,11/26/09,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS240/2009(H1N1)
HA,CY066967,Yes,4,1734,H1N1,11/26/09,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS241/2009(H1N1)
HA,CY066975,Yes,4,1734,H1N1,11/24/09,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS242/2009(H1N1)
HA,CY067031,Yes,4,1734,H1N1,11/21/09,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS251/2009
HA,CY067039,Yes,4,1743,H1N1,11/21/09,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS252/2009(H1N1)
HA,CY067047,Yes,4,1734,H1N1,11/22/09,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS253/2009(H1N1)
HA,CY067055,Yes,4,1734,H1N1,11/28/09,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS254/2009(H1N1)
HA,CY176570,Yes,4,1730,H1N1,1/25/11,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS3_653/2011
HA,CY176578,Yes,4,1755,H1N1,1/14/11,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS3_654/2011
HA,CY176586,Yes,4,1752,H1N1,2/7/11,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS3_655/2011
HA,CY129910,Yes,4,1752,H1N1,1/25/11,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS609/2011
