Name,Sequence Accession,Complete Genome,Segment,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name
PB2,CY083917,Yes,1,2316,H1N1,11/23/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aalborg/INS132/2009(H1N1)
PB2,CY063613,Yes,1,2293,H1N1,12/02/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aalborg/INS133/2009(H1N1)
PB2,CY073732,Yes,1,2293,H1N1,12/07/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aalborg/INS283/2009(H1N1)
PB2,CY062698,Yes,1,2293,H1N1,11/24/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS116/2009(H1N1)
PB2,CY062706,Yes,1,2293,H1N1,11/27/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS118/2009(H1N1)
PB2,CY066942,Yes,1,2293,H1N1,11/19/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS236/2009(H1N1)
PB2,CY066950,Yes,1,2293,H1N1,11/23/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS237/2009(H1N1)
PB2,CY066958,Yes,1,2293,H1N1,11/24/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS238/2009(H1N1)
PB2,CY066966,Yes,1,2293,H1N1,11/26/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS240/2009(H1N1)
PB2,CY066974,Yes,1,2293,H1N1,11/26/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS241/2009(H1N1)
PB2,CY066982,Yes,1,2293,H1N1,11/24/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS242/2009(H1N1)
PB2,CY067038,Yes,1,2293,H1N1,11/21/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS251/2009
PB2,CY067046,Yes,1,2293,H1N1,11/21/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS252/2009(H1N1)
PB2,CY067054,Yes,1,2293,H1N1,11/22/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS253/2009(H1N1)
PB2,CY067062,Yes,1,2293,H1N1,11/28/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS254/2009(H1N1)
PB2,CY176577,Yes,1,2316,H1N1,01/25/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS3_653/2011
PB2,CY176585,Yes,1,2316,H1N1,01/14/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS3_654/2011
PB2,CY176593,Yes,1,2316,H1N1,02/07/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS3_655/2011
PB2,CY129917,Yes,1,2293,H1N1,01/25/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS609/2011
PB2,CY129925,Yes,1,2293,H1N1,01/21/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS610/2011
PB2,CY129933,Yes,1,2293,H1N1,01/19/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS612/2011
PB2,CY129941,Yes,1,2293,H1N1,01/20/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS613/2011
PB2,CY129949,Yes,1,2293,H1N1,02/04/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS615/2011
PB2,CY056954,Yes,1,2286,H1N1,11/20/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS82/2009(H1N1)
PB2,AB753214,Yes,1,2309,H9N2,11/2009,IRD:African Stonechat/Avian,Viet Nam,-N/A-,-N/A-,A/African Stonechat/Vietnam/8/2009
PB2,GU136059,Yes,1,2280,H1N1,06/16/2009,IRD:Human,Japan,-N/A-,09-Aug,A/Aichi/202/2009(H1N1)
PB2,GQ365417,Yes,1,2280,H1N1,06/11/2009,IRD:Human,Japan,-N/A-,09-Aug,A/Akita/1/2009(H1N1)
PB2,CY113964,Yes,1,2314,H3N2,1993,IRD:Human,Japan,-N/A-,-N/A-,A/Akita/4/1993
PB2,KC781898,Yes,1,2280,H1N1,01/04/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/01/2010
PB2,GQ200229,Yes,1,2280,H1N1,04/27/2009,IRD:Human,USA,Alabama,09-Aug,A/Alabama/02/2009(H1N1)
PB2,KC781165,Yes,1,2280,H1N1,03/01/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/03/2010
PB2,CY025388,Yes,1,2298,H1N1,02/28/2007,IRD:Human,USA,Alabama,07-Jun,A/Alabama/UR06-0455/2007
PB2,CY026042,Yes,1,2301,H3N2,03/01/2007,IRD:Human,USA,Alabama,07-Jun,A/Alabama/UR06-0482/2007
PB2,CY027418,Yes,1,2297,H1N1,03/06/2007,IRD:Human,USA,Alabama,07-Jun,A/Alabama/UR06-0536/2007
PB2,CY025866,Yes,1,2303,H3N2,03/07/2007,IRD:Human,USA,Alabama,07-Jun,A/Alabama/UR06-0545/2007
PB2,CY093260,Yes,1,2310,H3N2,02/01/2009,IRD:Human,USA,Alabama,09-Aug,A/Alabama/WRAIR1242P/2009(H3N2)
PB2,KC781391,Yes,1,2280,H1N1,02/07/2010,IRD:Human,USA,Alaska,10-Sep,A/Alaska/01/2010
PB2,KF789964,Yes,1,2280,H3N2,02/20/2013,IRD:Human,USA,Alaska,13-Dec,A/Alaska/02/2013
